location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,No vaccination,2024,0.0000,0.0000,0.0000
bangladesh,No vaccination,2025,0.0000,0.0000,0.0000
bangladesh,No vaccination,2026,0.0000,0.0000,0.0000
bangladesh,No vaccination,2027,0.0000,0.0000,0.0000
bangladesh,No vaccination,2028,0.0000,0.0000,0.0000
bangladesh,No vaccination,2029,0.0000,0.0000,0.0000
bangladesh,No vaccination,2030,0.0000,0.0000,0.0000
bangladesh,No vaccination,2031,0.0000,0.0000,0.0000
bangladesh,No vaccination,2032,0.0000,0.0000,51.1125
bangladesh,No vaccination,2033,0.0000,0.0000,102.2250
bangladesh,No vaccination,2034,0.0000,0.0000,153.3374
bangladesh,No vaccination,2035,0.0000,0.0000,204.4499
bangladesh,No vaccination,2036,0.0000,0.0000,316.8974
bangladesh,No vaccination,2037,51.1125,0.0000,475.3460
bangladesh,No vaccination,2038,127.7812,0.0000,628.6835
bangladesh,No vaccination,2039,230.0061,0.0000,833.1334
bangladesh,No vaccination,2040,357.7873,51.1125,1139.8082
bangladesh,No vaccination,2041,613.3497,153.3374,1599.8205
bangladesh,No vaccination,2042,792.2434,250.4511,1962.7191
bangladesh,No vaccination,2043,1201.1432,398.6773,2484.0664
bangladesh,No vaccination,2044,1610.0430,654.2397,3204.7523
bangladesh,No vaccination,2045,2146.7240,1063.1395,3935.6607
bangladesh,No vaccination,2046,2887.8549,1569.1530,4855.6853
bangladesh,No vaccination,2047,3756.7670,2080.2778,5949.4923
bangladesh,No vaccination,2048,4625.6792,2729.4062,7283.5281
bangladesh,No vaccination,2049,5699.0412,3291.6435,8622.6750
bangladesh,No vaccination,2050,7079.0781,4206.5568,10564.9493
bangladesh,No vaccination,2051,8663.5650,5331.0313,12471.4449
bangladesh,No vaccination,2052,10631.3956,6838.8495,14771.5066
bangladesh,No vaccination,2053,12599.2261,8510.2276,17342.4645
bangladesh,No vaccination,2054,14950.4003,10483.1693,20720.9996
bangladesh,No vaccination,2055,17710.4744,12578.7811,23956.4198
bangladesh,No vaccination,2056,20751.6672,15170.1840,27610.9623
bangladesh,No vaccination,2057,23946.1971,17925.1468,31536.4009
bangladesh,No vaccination,2058,27754.0772,21083.8983,35901.4064
bangladesh,No vaccination,2059,31996.4133,24605.5484,40864.4278
